Date received,Product,Issue,Consumer complaint narrative,Company response to consumer,clean_text,text_length,word_count,record_id
22-06-2022,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"In accordance with the Fair Credit Reporting Act, the item listed below has violated my rights. 

INQUIRIES : XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX NEGATIVE ACCOUNTS : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions.",Closed with explanation,in accordance with the fair credit reporting act  the item listed below has violated my rights  inquiries   xxxx xxxx xxxx xxxx xxxx xx xx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxx xx xxxx negative accounts   xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx 15 u s c 1681 section 602 a  states i have the right to privacy  15 u s c 1681 section 604 a section 2   it also states a consumer reporting agency can not furnish an account without my written instructions,565,107,42
19-01-2016,Student loan,Can't repay my loan,"XXXX XXXX XXXX in XXXX XXXX, CA made false claims that they would provide job prospects and placement upon graduation and sold high cost loans to pay for that false hope then harassed me for overdue debts while I was in school. The school never intended to extend classes to allow me to finish my educational program. I made several attempts to continue classes but the school never complied. This was negligent on the school. I did not get the opportunity to finish school, so I was never allowed to get job placement. I filed for discharge on the loan based on False Certification Ability to benefit and I am in legal pursuit for debt forgiveness by defraud.",Closed with explanation,xxxx xxxx xxxx in xxxx xxxx  ca made false claims that they would provide job prospects and placement upon graduation and sold high cost loans to pay for that false hope then harassed me for overdue debts while i was in school  the school never intended to extend classes to allow me to finish my educational program  i made several attempts to continue classes but the school never complied  this was negligent on the school  i did not get the opportunity to finish school  so i was never allowed to get job placement  i filed for discharge on the loan based on false certification ability to benefit and i am in legal pursuit for debt forgiveness by defraud,659,118,43
09-11-2023,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,"When I investigated my credit report, I realized that some of the information was erroneous. Experian is required to authenticate this account under Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ). It is not acceptable to treat this reporting account as unconfirmed information without producing proof within the legal time range. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ). ( A ), please investigate the unverifiable account below : XXXX XXXX XXXX XXXX XXXX Balance : {$24000.00}",Closed with explanation,when i investigated my credit report  i realized that some of the information was erroneous  experian is required to authenticate this account under sections 609   a     1     a   and 611   a     1      a    it is not acceptable to treat this reporting account as unconfirmed information without producing proof within the legal time range  sections 609   a     1     a   and 611   a     1      a    please investigate the unverifiable account below   xxxx xxxx xxxx xxxx xxxx balance     24000 00,497,77,44
12-11-2025,Checking or savings account,Managing an account,"I opened my account on XX/XX/XXXX, and applied a {$400.00} bonus offer coupon when opening this account. I received a notification from the bank that reads, "" {$400.00} bonus offer : Your new account is eligible to receive a bonus upon meeting all offer requirements. '' I have a screenshot of this webpage. 

The bonus was supposed to be paid out by XX/XX/XXXX. As of XX/XX/XXXX, it has not been paid out. I called the bank and a woman I spoke to said it appears I was paid out a bonus in the past. I told her, yes, I received a prior bonus on XX/XX/XXXX, and per your terms, more than 12 months had passed so I am eligible for another new customer account bonus. 

She transferred me to a customer escalation person named XXXX. When XXXX took my call, he dropped it right away. I recorded this conversation and will attach it for your reference. 

Please post the {$400.00} bonus as I have met all the requirements as listed in your offer, including having {$3000.00} in direct deposits deposited within 90 days and my account is still open.",Closed with explanation,i opened my account on xx xx xxxx  and applied a   400 00  bonus offer coupon when opening this account  i received a notification from the bank that reads      400 00  bonus offer   your new account is eligible to receive a bonus upon meeting all offer requirements     i have a screenshot of this webpage  the bonus was supposed to be paid out by xx xx xxxx  as of xx xx xxxx  it has not been paid out  i called the bank and a woman i spoke to said it appears i was paid out a bonus in the past  i told her  yes  i received a prior bonus on xx xx xxxx  and per your terms  more than 12 months had passed so i am eligible for another new customer account bonus  she transferred me to a customer escalation person named xxxx  when xxxx took my call  he dropped it right away  i recorded this conversation and will attach it for your reference  please post the   400 00  bonus as i have met all the requirements as listed in your offer  including having   3000 00  in direct deposits deposited within 90 days and my account is still open,1036,198,45
09-10-2024,Prepaid card,Problem getting a card or closing an account,"10 years ago I had a Bluebird card which I used for a short while then stopped using it. In XXXX I became concerned with having an open and dormant card. I contacted Bluebird in XX/XX/XXXX, at which time they verbally communicated that the account was terminated. After this time I stopped receiving monthly statement notifications in my email. A short time later I shredded my card. 

XX/XX/XXXX To my surprise I started receiving monthly statements again. I called them around this time and asked them to close my account but XXXX was unhelpful and I didn't have time to resolve at that time. 

XX/XX/XXXX I called again to try to close my account. They asked for last 4 ssn, DOB, email, and also the following information which I do not have any longer : user id, card number, card number and card # pin. They did not ask me for nor were they interested in my physical address. They said that the information I provided did not match an account on file. 

I am concerned because I still have bank account information associated with the account and I don't want the account just active and dormant. It seems that the PII should be sufficient to close an account, and I shouldn't need to have the original username and physical card to do so.",Closed with explanation,10 years ago i had a bluebird card which i used for a short while then stopped using it  in xxxx i became concerned with having an open and dormant card  i contacted bluebird in xx xx xxxx  at which time they verbally communicated that the account was terminated  after this time i stopped receiving monthly statement notifications in my email  a short time later i shredded my card  xx xx xxxx to my surprise i started receiving monthly statements again  i called them around this time and asked them to close my account but xxxx was unhelpful and i didn t have time to resolve at that time  xx xx xxxx i called again to try to close my account  they asked for last 4 ssn  dob  email  and also the following information which i do not have any longer   user id  card number  card number and card   pin  they did not ask me for nor were they interested in my physical address  they said that the information i provided did not match an account on file  i am concerned because i still have bank account information associated with the account and i don t want the account just active and dormant  it seems that the pii should be sufficient to close an account  and i shouldn t need to have the original username and physical card to do so,1237,231,46
25-01-2023,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,"This is my numerous request that you amend this suspicious data. I believe you have violated Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ) by failing to verify these items, and I will take legal action against you as a result. This was previously mentioned in my previous COMPLAINT #, and I'm including it once more. Please don't ignore my request to repair these inaccurate items in my file. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Closed with explanation,this is my numerous request that you amend this suspicious data  i believe you have violated sections 609   a     1     a   and 611   a     1     a   by failing to verify these items  and i will take legal action against you as a result  this was previously mentioned in my previous complaint    and i m including it once more  please don t ignore my request to repair these inaccurate items in my file  xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx,498,91,47
13-05-2016,Credit reporting,Incorrect information on credit report,"On XXXX XXXX, 2015, a hard credit pull was done on my credit report by XXXX. I contacted XXXX Credit Card Services and they declined that they were even XXXX. After doing further research, I confirmed that XXXX is XXXX. I have never applied for a XXXX Credit Card, Mortgage or Personal Loan.",Closed with explanation,on xxxx xxxx  2015  a hard credit pull was done on my credit report by xxxx  i contacted xxxx credit card services and they declined that they were even xxxx  after doing further research  i confirmed that xxxx is xxxx  i have never applied for a xxxx credit card  mortgage or personal loan,290,53,48
07-07-2025,Vehicle loan or lease,Problems at the end of the loan or lease,"On XX/XX/year> I had a total loss on my leased vehicle with Hyundai Finance. My insurance company paid Hyundai finance the total payoff amount that they requested to satisfy the loan in the amount of {$18000.00}. Hyundai Finance received and cashed the payoff check. They also stated to the insurance company that all financial obligation have been met. 
On XX/XX/year> I received a demand letter for insurance deficiency in the amount of {$1000.00} I sent a letter to Hyundai Finance disputing the charges stating that they received the total payoff. I also ask them to provide me of how they arrived at this amount of {$1000.00}. 
They totally ignored my dispute letter have never provided me a breakdown on how they arrived at that amount of {$1000.00} They mentioned over the phone that they want me to pay the apprised value of the vehicle which is more then the loan payoff value. I ask them in a letter to provide me with an explanation of why should I pay more then the loan payoff but never got a reply instead kept sending me a bill and I sent my dispute back to them waiting for a written response. 

Now sent it to a collection agency, and I have disputed with them also and they never reply to my disputing letters and kept sending me the same bill over and over. 

In this complaint I am asking Hyundai Finance to provide me with the correspondence between them and my insurance company showing the demand payoff amount of XXXX and why are they asking me to pay them more money, and how they arrived at the amount that I owe them {$1000.00}",Closed with explanation,on xx xx year  i had a total loss on my leased vehicle with hyundai finance  my insurance company paid hyundai finance the total payoff amount that they requested to satisfy the loan in the amount of   18000 00   hyundai finance received and cashed the payoff check  they also stated to the insurance company that all financial obligation have been met  on xx xx year  i received a demand letter for insurance deficiency in the amount of   1000 00  i sent a letter to hyundai finance disputing the charges stating that they received the total payoff  i also ask them to provide me of how they arrived at this amount of   1000 00   they totally ignored my dispute letter have never provided me a breakdown on how they arrived at that amount of   1000 00  they mentioned over the phone that they want me to pay the apprised value of the vehicle which is more then the loan payoff value  i ask them in a letter to provide me with an explanation of why should i pay more then the loan payoff but never got a reply instead kept sending me a bill and i sent my dispute back to them waiting for a written response  now sent it to a collection agency  and i have disputed with them also and they never reply to my disputing letters and kept sending me the same bill over and over  in this complaint i am asking hyundai finance to provide me with the correspondence between them and my insurance company showing the demand payoff amount of xxxx and why are they asking me to pay them more money  and how they arrived at the amount that i owe them   1000 00,1547,289,49
12-01-2023,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,Company pulled my credit report without my authorization,Closed with explanation,company pulled my credit report without my authorization,56,8,50
18-01-2025,"Money transfer, virtual currency, or money service",Other transaction problem,I am writing in to express my concern as it relates to the handling of Zelle 's disputes. Although I reported these disputes with Zelle as well as my bank both parties failed to do a thorough investigation. Zelle has failed to investigate my claims and has advised that there was no way to recover from my losses due to them not being able to track transactions.,Closed with explanation,i am writing in to express my concern as it relates to the handling of zelle  s disputes  although i reported these disputes with zelle as well as my bank both parties failed to do a thorough investigation  zelle has failed to investigate my claims and has advised that there was no way to recover from my losses due to them not being able to track transactions,361,67,51
14-12-2021,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,Validate it or prove it. The bankruptcy court doesn't disclose information with the Bureaus and these bankruptcies don't show in XXXX system. I included a letter from the bankruptcy court saying they don't disclose information with the Bureaus and I also included documentation from XXXX saying these Bankruptcies aren't reporting in their system.,Closed with explanation,validate it or prove it  the bankruptcy court doesn t disclose information with the bureaus and these bankruptcies don t show in xxxx system  i included a letter from the bankruptcy court saying they don t disclose information with the bureaus and i also included documentation from xxxx saying these bankruptcies aren t reporting in their system,346,57,52
07-06-2023,Credit card or prepaid card,Unexpected or other fees,There was XXXX XXXX transactions made on my account on XX/XX/2023 for XXXX and XXXX that I did not make or authorize. I contacted them to dispute the charges and they denied my dispute. I feel this company did not properly handle or investigate the dispute throughly and they have a history of just denying charges you did not make on your account.,Closed with explanation,there was xxxx xxxx transactions made on my account on xx xx 2023 for xxxx and xxxx that i did not make or authorize  i contacted them to dispute the charges and they denied my dispute  i feel this company did not properly handle or investigate the dispute throughly and they have a history of just denying charges you did not make on your account,347,65,53
08-09-2022,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,"I am appalled by the inability of the Credit Bureaus to correct my Credit Report despite the multiple dispute letters and CFPB complaint I have done! There are accounts that are reporting erroneous information on my Credit File and needs to be corrected since it caused a drastic damage to my Credit Score. I have read that under the Fair Credit reporting Act, the Credit Bureaus are required to verify the information being reported on my Credit Report per consumer 's request and needs to update and or delete for any damaging erroneous reporting. I noticed the following upon doing a further research with my Credit File : a ) There are accounts reporting as late even though I never missed a payment ; b ) there are closed accounts reporting as late even though the balance is {$0.00} ; c ) there are charge off accounts reporting balance and as far as I know charge off accounts MUST show XXXX  balance ; and d ) there are accounts that are already deleted from the other Credit Bureaus but are still indicated from the other Bureaus. Under the FCRA, I need the following accounts investigated and updated or deleted : XXXX XXXX XXXX Balance Owed : {$17000.00} XXXX XXXX XXXX Balance Owed : {$1400.00} XXXX XXXXXXXX Balance Owed : {$880.00} XXXX  XXXX XXXX Balance Owed : {$0.00} XXXX XXXX XXXX XXXX Balance Owed XXXX XXXX XXXX XXXX XXXX XXXXXXXX Balance Owed : {$0.00}",Closed with explanation,i am appalled by the inability of the credit bureaus to correct my credit report despite the multiple dispute letters and cfpb complaint i have done  there are accounts that are reporting erroneous information on my credit file and needs to be corrected since it caused a drastic damage to my credit score  i have read that under the fair credit reporting act  the credit bureaus are required to verify the information being reported on my credit report per consumer  s request and needs to update and or delete for any damaging erroneous reporting  i noticed the following upon doing a further research with my credit file   a   there are accounts reporting as late even though i never missed a payment   b   there are closed accounts reporting as late even though the balance is   0 00    c   there are charge off accounts reporting balance and as far as i know charge off accounts must show xxxx balance   and d   there are accounts that are already deleted from the other credit bureaus but are still indicated from the other bureaus  under the fcra  i need the following accounts investigated and updated or deleted   xxxx xxxx xxxx balance owed     17000 00  xxxx xxxx xxxx balance owed     1400 00  xxxx xxxxxxxx balance owed     880 00  xxxx xxxx xxxx balance owed     0 00  xxxx xxxx xxxx xxxx balance owed xxxx xxxx xxxx xxxx xxxx xxxxxxxx balance owed     0 00,1371,235,54
11-02-2025,Credit reporting or other personal consumer reports,Incorrect information on your report,This debt was paid with First Progress before it was delinquent. Please see attached screenshot of the payment confirmation from XX/XX/XXXX. It is reporting as unpaid but as you can see it was paid on XX/XX/XXXX.,Closed with explanation,this debt was paid with first progress before it was delinquent  please see attached screenshot of the payment confirmation from xx xx xxxx  it is reporting as unpaid but as you can see it was paid on xx xx xxxx,211,40,55
27-10-2025,Credit reporting or other personal consumer reports,Incorrect information on your report,"I reached out to this consumer reporting agency numerous times. Submitted documents including identity theft reports regarding my account status and inaccurate information on my consumer report, I haven't gotten any compliance. I will not stop communicating with them until i get the results i desire and that is too delete any adverse information off of my report that is harming my credit worthiness. Experian is violation of numerous consumer laws.",Closed with explanation,i reached out to this consumer reporting agency numerous times  submitted documents including identity theft reports regarding my account status and inaccurate information on my consumer report  i haven t gotten any compliance  i will not stop communicating with them until i get the results i desire and that is too delete any adverse information off of my report that is harming my credit worthiness  experian is violation of numerous consumer laws,450,72,56
28-06-2024,Credit reporting or other personal consumer reports,Incorrect information on your report,"I have lost count of the number of letters I have sent to your bureau regarding my status as a victim of identity theft, as my concerns have yet to be fully resolved. Once again, I am disputing the fraudulent information that is adversely affecting my credit file. Despite my submission of the required XXXX complaint, your bureau continues to report these fraudulent accounts on my credit report. I want to emphasize that I have already contacted the banks associated with these accounts, submitted the necessary documents, and had the accounts promptly deleted from their records. Moreover, other credit bureaus have already removed these accounts from their records following the submission of the XXXX complaint. Therefore, I am curious about the verification process your bureau employed to continue reporting these fraudulent accounts. 

XXXX XXXX XXXX XXXX XXXXXXXX, XXXX XXXX XXXX",Closed with non-monetary relief,i have lost count of the number of letters i have sent to your bureau regarding my status as a victim of identity theft  as my concerns have yet to be fully resolved  once again  i am disputing the fraudulent information that is adversely affecting my credit file  despite my submission of the required xxxx complaint  your bureau continues to report these fraudulent accounts on my credit report  i want to emphasize that i have already contacted the banks associated with these accounts  submitted the necessary documents  and had the accounts promptly deleted from their records  moreover  other credit bureaus have already removed these accounts from their records following the submission of the xxxx complaint  therefore  i am curious about the verification process your bureau employed to continue reporting these fraudulent accounts  xxxx xxxx xxxx xxxx xxxxxxxx  xxxx xxxx xxxx,886,140,57
09-05-2024,Vehicle loan or lease,Problems at the end of the loan or lease,"Good Morning, I am reaching out due to credit acceptance has continually decided to charge me after my vehicle was totaled out by insurance on XXXX XXXX and I still pay a monthly payment of XXXX to credit acceptance and I also have XXXX XXXX with XXXX XXXX. My insurance paid out XXXX by XXXX XXXX and my XXXX XXXX is supposed to cover the rest of the balance of the loan. My balance before insurance paid out was {$18000.00}, my insurance paid {$12000.00}. XXXX XXXX said I had a balance of {$570.00} for a car payment that was late which is not true I paid my car payment on time every month, no problems nor hesitation. My XXXX XXXX only paid {$4400.00}, which leaves a payout of {$16000.00} to credit acceptance and leaves a balance of {$1200.00}. Which I should not owe, I have asked for the XXXX policy in full which they will not provide, and they are adding on fees each month saying I owe interest and now they say I have a balance of {$9000.00} still left and owed on the vehicle. How is that possible when I have XXXX XXXX which was stated to me at the time of purchase at XXXX XXXX on XXXX that if I were involved in car accident whatever my insurance does not cover, my XXXX XXXX would and that is not true with credit acceptance. I have a payment now due of {$420.00} and payment {$560.00} due by XX/XX/2024, and they are threatening me to send me to collections and prevent me from financing another vehicle when I should not have a balance. Credit acceptance keeps adding fees and late charges when I continue to pay and say I am going to continue to pay interest if I don't pay the full {$9000.00} by a certain date. That is not fair nor right to do a faithful paying customer that way. Then threatening me to pay is not necessary I have asked for documents and all receipts they will not provide ; I have asked multiple times. They ignore my request and continue to charge me.",Closed with monetary relief,good morning  i am reaching out due to credit acceptance has continually decided to charge me after my vehicle was totaled out by insurance on xxxx xxxx and i still pay a monthly payment of xxxx to credit acceptance and i also have xxxx xxxx with xxxx xxxx  my insurance paid out xxxx by xxxx xxxx and my xxxx xxxx is supposed to cover the rest of the balance of the loan  my balance before insurance paid out was   18000 00   my insurance paid   12000 00   xxxx xxxx said i had a balance of   570 00  for a car payment that was late which is not true i paid my car payment on time every month  no problems nor hesitation  my xxxx xxxx only paid   4400 00   which leaves a payout of   16000 00  to credit acceptance and leaves a balance of   1200 00   which i should not owe  i have asked for the xxxx policy in full which they will not provide  and they are adding on fees each month saying i owe interest and now they say i have a balance of   9000 00  still left and owed on the vehicle  how is that possible when i have xxxx xxxx which was stated to me at the time of purchase at xxxx xxxx on xxxx that if i were involved in car accident whatever my insurance does not cover  my xxxx xxxx would and that is not true with credit acceptance  i have a payment now due of   420 00  and payment   560 00  due by xx xx 2024  and they are threatening me to send me to collections and prevent me from financing another vehicle when i should not have a balance  credit acceptance keeps adding fees and late charges when i continue to pay and say i am going to continue to pay interest if i don t pay the full   9000 00  by a certain date  that is not fair nor right to do a faithful paying customer that way  then threatening me to pay is not necessary i have asked for documents and all receipts they will not provide   i have asked multiple times  they ignore my request and continue to charge me,1893,369,58
20-08-2025,Credit reporting or other personal consumer reports,Incorrect information on your report,"On XXXX XXXX, 2025XX/XX/year>, XX/XX/year>2025 I sent a letter regarding inaccurate and unknown things on my credit report to this day over 60 days later, I have not received a response yet.

I feel like Im being taken advantage of and being ignored for my disputes.

Section 611 ( a ), it is plainly stated that a failure to investigate these items within 30 days gives a reason to immediately remove those items from my credit report. It has been 60 days so they should be deleted promptly. I demand these accounts be deleted immediately or I will file for litigation due to the stress you caused me. My information was also impacted by the Equifax data breach and they have got into the hands of the wrong person.",Closed with non-monetary relief,on xxxx xxxx  2025xx xx year   xx xx year 2025 i sent a letter regarding inaccurate and unknown things on my credit report to this day over 60 days later  i have not received a response yet  i feel like im being taken advantage of and being ignored for my disputes  section 611   a    it is plainly stated that a failure to investigate these items within 30 days gives a reason to immediately remove those items from my credit report  it has been 60 days so they should be deleted promptly  i demand these accounts be deleted immediately or i will file for litigation due to the stress you caused me  my information was also impacted by the equifax data breach and they have got into the hands of the wrong person,713,132,59
13-09-2024,Credit reporting or other personal consumer reports,Incorrect information on your report,"Although I didnt request a loan for this XXXX XXXX XXXX put one on my account XX/XX/. I immediately refunded the money and advised that I wanted to cancel it XX/XX/. They responded and confirmed that it was cancelled XX/XX/. I confirmed by checking my student  account. A few days later I received notification that it was on my credit report. I called Aidvantage and asked for them to remove from my report. They said due to processing it could take several months after I send a written letter by mail. I asked if they had a fax or electronic method. They said no. So it took a few days to put it on my report and "" due to processing '' it takes months to remove it. Its unacceptable and a deliberate burden. I reported it to the credit agency XX/XX/. They investigated and somehow received confirmation from Aidvantage that this is an active account. SO the credit agency wont remove it.",Closed with explanation,although i didnt request a loan for this xxxx xxxx xxxx put one on my account xx xx   i immediately refunded the money and advised that i wanted to cancel it xx xx   they responded and confirmed that it was cancelled xx xx   i confirmed by checking my student account  a few days later i received notification that it was on my credit report  i called aidvantage and asked for them to remove from my report  they said due to processing it could take several months after i send a written letter by mail  i asked if they had a fax or electronic method  they said no  so it took a few days to put it on my report and   due to processing    it takes months to remove it  its unacceptable and a deliberate burden  i reported it to the credit agency xx xx   they investigated and somehow received confirmation from aidvantage that this is an active account  so the credit agency wont remove it,888,165,60
29-06-2020,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"I paid my Citi Bank Credit card in FULL. Citi has reported me owing {$750.00}, but the account is paid in full. Attachments are proof of that",Closed with explanation,i paid my citi bank credit card in full  citi has reported me owing   750 00   but the account is paid in full  attachments are proof of that,141,28,61
11-11-2022,"Money transfer, virtual currency, or money service",Other transaction problem,"Dear Sir/Madame, At XXXX of XXXX I send the payment in XXXX dollars from my account in XXXX bank XXXX XXXX ) to XXXX as a payment by contract ( byuing apartment in XXXX, XXXX ) XXXX 
Amount : {$70000.00} XXXX XXXX  XXXX Senders Reference : XXXX This payment was not received by the payment receiver. 
I tried to returned the payment in XXXX twice. 
XXXX bank provided me information that my money were frozen at the account of XXXX bank in Citi. 
At XXXX of XXXX Citi answered in swift that "" your response has cleared the sanctions issue and the payment has been cancelled per remitter request as of XX/XX/2022 '' But I have not get my money back yet. 
XXXX bank has not give me any instructions how I can return my money. 
Please, let me know how I can get back my money. 
Thanks in advance. 
Best regards. 
XXXX.",Closed with explanation,dear sir madame  at xxxx of xxxx i send the payment in xxxx dollars from my account in xxxx bank xxxx xxxx   to xxxx as a payment by contract   byuing apartment in xxxx  xxxx   xxxx amount     70000 00  xxxx xxxx xxxx senders reference   xxxx this payment was not received by the payment receiver  i tried to returned the payment in xxxx twice  xxxx bank provided me information that my money were frozen at the account of xxxx bank in citi  at xxxx of xxxx citi answered in swift that   your response has cleared the sanctions issue and the payment has been cancelled per remitter request as of xx xx 2022    but i have not get my money back yet  xxxx bank has not give me any instructions how i can return my money  please  let me know how i can get back my money  thanks in advance  best regards  xxxx,804,150,62
22-03-2022,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"I am a victim of identity theft and fraud. I have notified alleged creditors that the items on my credit report does not belong to me, and they have not validated any debts from alleged creditors with competent evidence of a valid contract according to the FCRA section 609 and best evidence rule that requires primary evidence meaning original version and other consumer laws i.e. title 15 U.S. Codes section 1681 and 1692. I have not in any way received goods, credit, money, loans, services, or any transactions. The alleged creditors have not provided proof of claim and my Social Security number has been used unauthorized, and without consent and written or verbal permission. My Social Security number information was breached and alleged creditors have used my Social Security number and are in violation of the privacy act of XXXX etc. unless they can prove a written contract exist. 

XXXX has received my FTC Identity theft report, FTC Complaint and Affidavit, and proof of identification via USPS certified mail # XXXX XXXX XXXX XXXX XXXX on XX/XX/XXXX signed for by XXXX agent XXXX XXXX, there is no proof to the contrary. XXXX  is in direct violation of the FCRA section 605B 15 USC 1681c-2 Block of information resulting from identity theft as pursuant they must remove all fraudulent and inaccurate information from my consumer report no later than four ( 4 ) business days after the date of receipt",Closed with explanation,i am a victim of identity theft and fraud  i have notified alleged creditors that the items on my credit report does not belong to me  and they have not validated any debts from alleged creditors with competent evidence of a valid contract according to the fcra section 609 and best evidence rule that requires primary evidence meaning original version and other consumer laws i e  title 15 u s  codes section 1681 and 1692  i have not in any way received goods  credit  money  loans  services  or any transactions  the alleged creditors have not provided proof of claim and my social security number has been used unauthorized  and without consent and written or verbal permission  my social security number information was breached and alleged creditors have used my social security number and are in violation of the privacy act of xxxx etc  unless they can prove a written contract exist  xxxx has received my ftc identity theft report  ftc complaint and affidavit  and proof of identification via usps certified mail   xxxx xxxx xxxx xxxx xxxx on xx xx xxxx signed for by xxxx agent xxxx xxxx  there is no proof to the contrary  xxxx is in direct violation of the fcra section 605b 15 usc 1681c 2 block of information resulting from identity theft as pursuant they must remove all fraudulent and inaccurate information from my consumer report no later than four   4   business days after the date of receipt,1412,241,63
25-03-2024,Mortgage,Trouble during payment process,"On XX/XX/XXXX I requested the removal of Private Mortgage Insurance from my loan, from which lender PennyMac requested an Appraisal. 
The appraisal showed the LTV was less than required 80 %, and they proceed and removed the PMI payment from my monthly payment After Escrow account revision done in XX/XX/XXXX, I did not agree with the terms and requested de deletion of Escrow Account. 
Lender requested the payment of the shortage for the time of the request, which I made the same day, for an amount of {$5500.00}. 
After payment was reflected in my account I called again and requested the Escrow deletion, which they processed. 2 Weeks later I received a Denial letter saying that an loan to value ( LTV ) ratio was not met, which is not true as they do have the latest Property appraisal which shows less than 80 % of LTV ; and they used it to remove the PMI payment. 
I need all Escrows payments removed as I comply with all requirements for it.",Closed with explanation,on xx xx xxxx i requested the removal of private mortgage insurance from my loan  from which lender pennymac requested an appraisal  the appraisal showed the ltv was less than required 80    and they proceed and removed the pmi payment from my monthly payment after escrow account revision done in xx xx xxxx  i did not agree with the terms and requested de deletion of escrow account  lender requested the payment of the shortage for the time of the request  which i made the same day  for an amount of   5500 00   after payment was reflected in my account i called again and requested the escrow deletion  which they processed  2 weeks later i received a denial letter saying that an loan to value   ltv   ratio was not met  which is not true as they do have the latest property appraisal which shows less than 80   of ltv   and they used it to remove the pmi payment  i need all escrows payments removed as i comply with all requirements for it,947,171,64
